last_name, first_name,player_id,year,batting_avg,slg_percent,on_base_percent
Cabrera, Miguel,408234,2021,0.256,0.386,0.316
Cruz Jr., Nelson,443558,2021,0.265,0.497,0.332
Peralta, David,444482,2021,0.259,0.402,0.325
Blackmon, Charlie,453568,2021,0.27,0.411,0.351
McCutchen, Andrew,457705,2021,0.222,0.444,0.334
Turner, Justin,457759,2021,0.278,0.471,0.361
Votto, Joey,458015,2021,0.266,0.563,0.375
Andrus, Elvis,462101,2021,0.243,0.32,0.292
Santana, Carlos,467793,2021,0.214,0.342,0.319
Lowrie, Jed,476704,2021,0.245,0.398,0.318
Brantley Jr., Michael,488726,2021,0.311,0.437,0.362
Gurriel, Yuli,493329,2021,0.319,0.462,0.383
Rojas, Miguel,500743,2021,0.265,0.392,0.321
Escobar, Eduardo,500871,2021,0.253,0.472,0.314
Pham, Tommy,502054,2021,0.229,0.383,0.34
Martinez, J.D.,502110,2021,0.286,0.518,0.349
Goldschmidt, Paul,502671,2021,0.294,0.514,0.365
Altuve, Jose,514888,2021,0.278,0.489,0.35
Hernandez, Cesar,514917,2021,0.232,0.386,0.308
Segura, Jean,516416,2021,0.29,0.436,0.347
Marte, Starling,516782,2021,0.31,0.458,0.382
Donaldson, Josh,518626,2021,0.247,0.475,0.352
Freeman, Freddie,518692,2021,0.3,0.503,0.393
LeMahieu, DJ,518934,2021,0.268,0.362,0.349
Rizzo, Anthony,519203,2021,0.248,0.44,0.344
Stanton, Giancarlo,519317,2021,0.273,0.516,0.354
Perez, Salvador,521692,2021,0.273,0.544,0.316
Garcia, Avisail,541645,2021,0.262,0.49,0.33
Villar, Jonathan,542340,2021,0.249,0.416,0.321
Aguilar, Jesus,542583,2021,0.261,0.459,0.325
Crawford, Brandon,543063,2021,0.298,0.522,0.373
Cron, C.J.,543068,2021,0.281,0.53,0.375
Grossman, Robbie,543257,2021,0.239,0.415,0.356
Harrison, Josh,543281,2021,0.279,0.4,0.341
Hosmer, Eric,543333,2021,0.269,0.395,0.336
Semien, Marcus,543760,2021,0.265,0.538,0.334
Grichuk, Randal,545341,2021,0.241,0.423,0.281
Harper, Bryce,547180,2021,0.309,0.615,0.427
Abreu, Jose,547989,2021,0.261,0.481,0.351
Suarez, Eugenio,553993,2021,0.198,0.428,0.286
Schoop, Jonathan,570731,2021,0.278,0.435,0.32
Arenado, Nolan,571448,2021,0.255,0.494,0.312
