last_name, first_name,player_id,year,p_total_hits,p_home_run,p_k_percent,barrel_batted_rate,z_swing_miss_percent,n_ff_formatted,n_sl_formatted,n_ch_formatted,n_cukc_formatted,n_sift_formatted,n_fc_formatted,n_fs_formatted,n_kn_formatted,n_fastball_formatted,n_breaking_formatted,n_offspeed_formatted
Wainwright, Adam,425794,2021,168,21,21,6.2,11.9,9.5,,6.4,33.8,28.2,22.1,,,59.7,33.8,6.4
Greinke, Zack,425844,2021,164,30,17.2,6.5,12.4,40.1,15.3,22.4,16.5,5.7,,,,45.9,31.8,22.4
Morton, Charlie,450203,2021,136,16,28.6,4.9,19.4,36,,5.3,36.7,13.5,8.5,,,58,36.7,5.3
Scherzer, Max,453286,2021,119,23,34.1,8,25.9,46.7,19.2,14.9,9.8,,9.4,,,56,29,14.9
Miley, Wade,489119,2021,166,17,18.1,6.1,18.6,16.3,5.1,27.4,3.4,1.1,46.6,,,64.1,8.6,27.4
Gibson, Kyle,502043,2021,158,17,20.6,4.9,13.7,12.7,16,13.3,9.1,34,14.9,,,61.6,25.1,13.3
Darvish, Yu,506433,2021,138,28,29.2,8.8,19.5,22.1,22.7,0,8.2,8.3,34,4.7,,64.3,30.9,4.8
Anderson, Tyler,542881,2021,170,27,19.1,8.5,19.7,36.6,,24.6,0.6,11.1,27,,,74.7,0.6,24.6
Cole, Gerrit,543037,2021,151,24,33.5,9.8,24.7,47.1,22.2,14.2,15.7,0.8,,,,48,37.9,14.2
DeSclafani, Anthony,543101,2021,141,19,22.5,8.1,16,27.1,35.7,10.5,8.1,18.6,,,,45.7,43.8,10.5
Eovaldi, Nathan,543135,2021,182,15,25.5,6.3,18.3,42.3,13.7,,18.8,,12.5,12.7,,54.8,32.5,12.7
Hendricks, Kyle,543294,2021,200,31,16.7,8.4,15.4,17.8,,27.8,11.7,42.7,,,,60.5,11.7,27.8
Lyles, Jordan,543475,2021,194,38,19,9.1,15.2,39.5,23.2,7.3,18.3,8.9,2.8,,,51.2,41.5,7.3
Ryu, Hyun Jin,547943,2021,170,24,20.4,8.5,16.3,35.2,0.5,25.4,12.6,0.8,25.5,,,61.5,13.1,25.4
Wheeler, Zack,554430,2021,169,16,29.1,4.6,20.3,42.5,24.9,3.8,10.7,18.1,,,,60.6,35.6,3.8
Corbin, Patrick,571578,2021,192,37,19,9.2,12.5,27.9,38.2,4.2,0.9,28.5,0.3,,,56.7,39.1,4.2
Keuchel, Dallas,572971,2021,189,25,13.2,9,13.1,2.2,7,28.6,,37.9,24.4,,,64.4,7,28.6
Stroman, Marcus,573186,2021,161,17,21.6,6.5,16.1,2.6,22.8,,0.7,42.3,15.4,16.2,,60.3,23.5,16.2
Gausman, Kevin,592332,2021,150,20,29.3,7.1,22.4,52.7,5.9,6,,,,35.3,,52.7,5.9,41.4
Ray, Robbie,592662,2021,150,33,32.1,9.8,22.7,59.3,30.8,3.6,6.1,0.2,,,,59.5,36.9,3.6
Montas, Frankie,593423,2021,164,20,26.6,8.7,20.9,29,13,,,29.2,6.4,22.4,,64.6,13,22.4
Musgrove, Joe,605397,2021,142,22,27.1,7.2,17.9,20.3,27.8,4.8,23.8,5.1,18.2,,,43.6,51.5,4.8
Nola, Aaron,605400,2021,165,26,29.8,7.1,20.1,37.5,,19.8,27,14.1,1.5,,,53.2,27,19.8
Woodruff, Brandon,605540,2021,130,18,29.8,5.8,23.2,33.7,8.7,14.2,16.7,26.7,,,,60.4,25.3,14.2
Fried, Max,608331,2021,139,15,23.7,6.3,16,39,21.8,2.2,25.7,11.3,,,,50.4,47.5,2.2
Giolito, Lucas,608337,2021,145,27,27.9,6.7,24.2,43.9,21.5,31.8,2.9,,,,,43.9,24.3,31.8
Irvin, Cole,608344,2021,195,23,16.3,7.3,15.4,40.5,14.9,22,3.3,19.2,0.1,,,59.9,18.2,22
Marquez, German,608566,2021,165,21,23.3,5.3,16.3,45.5,26.9,2.1,18.2,7.4,,,,52.9,45.1,2.1
Buehler, Walker,621111,2021,149,19,26,6.8,17.4,44.5,13.8,4.8,13.2,7.4,16.3,,,68.2,27,4.8
McCullers Jr., Lance,621121,2021,122,13,27,5.3,16.6,,25.8,13.7,25,34,1.4,,,35.5,50.8,13.7
Berrios, Jose,621244,2021,159,22,26.1,9.1,16.5,26.7,,13.2,30.5,29.6,,,,56.3,30.5,13.2
Castillo, Luis,622491,2021,181,19,23.9,4.5,21.6,28.5,17.4,30.3,,23.8,,,,52.3,17.4,30.3
Flexen, Chris,623167,2021,185,19,16.9,6.3,13.9,40,,15.3,15.3,,29.4,,,69.4,15.3,15.3
Urias, Julio,628711,2021,151,19,26.2,5.3,18.7,47.6,0,17.3,34.2,0.9,,,,48.4,34.2,17.3
Manaea, Sean,640455,2021,179,25,25.7,8,22.3,,,24.4,15.6,60,,,,60,15.6,24.4
Mahle, Tyler,641816,2021,158,24,27.7,6.5,21.9,53,26.7,,,,4.4,15.9,,57.4,26.7,15.9
Alcantara, Sandy,645261,2021,171,21,24,6.1,19.3,21.6,24.1,23.5,2.6,28.2,,,,49.8,26.7,23.5
Cease, Dylan,656302,2021,139,20,31.9,9.9,26,46.8,30.6,7.4,15.2,,,,,46.8,45.8,7.4
Burnes, Corbin,669203,2021,123,7,35.6,3.1,22.1,1.5,9.2,9.6,18.3,9.1,52.3,,,62.9,27.4,9.6
