Game Date,Pitcher,Result,EV (MPH),LA (°),Dist (ft),Direction,Pitch (MPH),Pitch Type
9/29/19,"Tomlin, Josh",field_out,80,69,,Pull,77.1,Curveball
9/29/19,"Greene, Shane",field_out,97.2,54,261,Pull,77.5,Slider
9/29/19,"Soroka, Mike",strikeout,,,,,82.1,Slider
9/29/19,"Soroka, Mike",strikeout,,,,,84,Slider
9/29/19,"Soroka, Mike",single,87.4,20,268,Opposite,95.1,Sinker
9/28/19,"Fried, Max",grounded_into_double_play,80.1,-4,21,Pull,96.6,Sinker
9/28/19,"Foltynewicz, Mike",home_run,106.1,33,415,Straightaway,92.8,Sinker
9/28/19,"Foltynewicz, Mike",strikeout,,,,,81.9,Slider
9/27/19,"Swarzak, Anthony",strikeout,,,,,84.6,Slider
9/27/19,"Keuchel, Dallas",field_out,68.6,48,190,Opposite,79.7,Changeup
9/27/19,"Keuchel, Dallas",walk,,,,,90.7,Sinker
9/27/19,"Keuchel, Dallas",home_run,96.8,24,361,Pull,87,Cutter
9/26/19,"Brigham, Jeff",strikeout,,,,,84.5,Slider
9/26/19,"Yamamoto, Jordan",strikeout,,,,,93.4,4-Seam Fastball
9/26/19,"Yamamoto, Jordan",strikeout,,,,,78,Curveball
9/26/19,"Yamamoto, Jordan",strikeout,,,,,92.6,4-Seam Fastball
9/25/19,"Noesi, Hector",walk,,,,,91.9,Slider
9/25/19,"Smith, Josh D.",field_out,92.8,58,230,Opposite,89.1,4-Seam Fastball
9/25/19,"Chen, Wei-Yin",field_out,70.9,-4,15,Straightaway,85.4,Changeup
9/25/19,"Dugger, Robert",home_run,104.7,32,437,Straightaway,89.1,Sinker
9/25/19,"Dugger, Robert",strikeout,,,,,72.1,Curveball
9/24/19,"Moran, Brian",strikeout,,,,,71.5,Curveball
9/24/19,"Garcia, Jarlin",strikeout,,,,,85.7,Slider
9/24/19,"Alcantara, Sandy",field_out,80,69,,Pull,96.2,Sinker
9/24/19,"Alcantara, Sandy",field_out,98.4,24,366,Opposite,95.5,Sinker
9/24/19,"Alcantara, Sandy",field_out,79.1,-16,7,Pull,95.4,Sinker
9/23/19,"Stanek, Ryne",strikeout,,,,,89.2,Split-Finger
9/23/19,"Kinley, Tyler",strikeout,,,,,89.8,Slider
9/23/19,"Smith, Caleb",field_out,80,69,,Opposite,86.1,Slider
9/23/19,"Smith, Caleb",single,106.1,16,254,Pull,86.6,Slider
9/23/19,"Smith, Caleb",strikeout,,,,,86.1,Slider
9/22/19,"Romano, Sal",intent_walk,,,,,,
9/22/19,"Bowman, Matt",field_out,67.4,13,124,Pull,83.5,Split-Finger
9/22/19,"Bauer, Trevor",strikeout,,,,,80.1,Slider
9/22/19,"Bauer, Trevor",strikeout,,,,,94.8,4-Seam Fastball
9/22/19,"Bauer, Trevor",double,110.4,-1,37,Pull,92.6,4-Seam Fastball
9/21/19,"Kuhnel, Joel",field_out,101.8,0,33,Pull,87.6,Slider
9/21/19,"DeSclafani, Anthony",strikeout,,,,,85.4,Knuckle Curve
9/21/19,"DeSclafani, Anthony",field_out,89.9,25,345,Straightaway,87.9,Slider
9/21/19,"DeSclafani, Anthony",field_out,101.7,-21,5,Pull,94.9,Sinker
9/20/19,"Mella, Keury",intent_walk,,,,,,
9/20/19,"Romano, Sal",home_run,108.2,28,437,Straightaway,96.2,Sinker
9/20/19,"Castillo, Luis",strikeout,,,,,88.8,Slider
9/20/19,"Castillo, Luis",field_out,103.9,1,54,Pull,88.2,Changeup
9/20/19,"Castillo, Luis",field_out,99.7,-9,11,Pull,99.7,Sinker
9/18/19,"Harvey, Joe",walk,,,,,94,4-Seam Fastball
9/18/19,"Tinoco, Jesus",single,106.9,12,267,Pull,92.2,Sinker
9/18/19,"Hoffman, Jeff",home_run,106.1,31,448,Pull,75.6,Curveball
9/18/19,"Hoffman, Jeff",hit_by_pitch,,,,,76,Curveball
9/18/19,"Hoffman, Jeff",field_out,73.9,-28,5,Opposite,75.2,Curveball
9/17/19,"Parsons, Wes",single,57.9,40,179,Opposite,85.8,Slider
9/17/19,"Melville, Tim",home_run,110.2,33,467,Straightaway,89.6,4-Seam Fastball
9/17/19,"Melville, Tim",field_out,86.2,-19,7,Pull,89.8,4-Seam Fastball
9/17/19,"Melville, Tim",grounded_into_double_play,104.1,-16,7,Straightaway,91,4-Seam Fastball
9/16/19,"Estevez, Carlos",strikeout,,,,,99.5,4-Seam Fastball
9/16/19,"Senzatela, Antonio",double,110.2,11,279,Opposite,92.2,4-Seam Fastball
9/16/19,"Senzatela, Antonio",single,107.2,-3,36,Straightaway,92.2,4-Seam Fastball
9/16/19,"Senzatela, Antonio",strikeout,,,,,79.3,Curveball
9/15/19,"Jansen, Kenley",strikeout,,,,,94.5,Cutter
9/15/19,"Baez, Pedro",field_out,85.7,32,301,Opposite,95.9,4-Seam Fastball
9/15/19,"Buehler, Walker",field_out,98.2,36,354,Straightaway,80.2,Knuckle Curve
9/15/19,"Buehler, Walker",force_out,75.9,-43,2,Straightaway,82.9,Knuckle Curve
9/14/19,"Ryu, Hyun Jin",strikeout,,,,,91.2,Sinker
9/14/19,"Ryu, Hyun Jin",field_out,64.6,80,64,Opposite,89,Cutter
9/14/19,"Ryu, Hyun Jin",field_out,85.1,3,57,Straightaway,81.2,Changeup
9/13/19,"Sborz, Josh",walk,,,,,94.9,4-Seam Fastball
9/13/19,"Kershaw, Clayton",walk,,,,,90.6,4-Seam Fastball
9/12/19,"Andriese, Matt",field_out,67.2,-60,2,Pull,83.1,Curveball
9/12/19,"Sherfy, James",strikeout,,,,,78.9,Slider
9/12/19,"Lopez, Yoan",strikeout,,,,,86.7,Slider
9/12/19,"Young, Alex",field_error,81.7,-17,4,Straightaway,83.7,Changeup
9/12/19,"Young, Alex",strikeout,,,,,82.9,Changeup
9/11/19,"Hirano, Yoshihisa",force_out,82.9,-21,,Pull,83.4,Split-Finger
9/11/19,"Clarke, Taylor",walk,,,,,94.8,4-Seam Fastball
9/11/19,"Clarke, Taylor",field_out,80,69,,Opposite,95.3,4-Seam Fastball
9/11/19,"Ray, Robbie",strikeout,,,,,91.3,4-Seam Fastball
9/10/19,"Crichton, Stefan",field_out,58.1,-44,3,Opposite,77.1,Curveball
9/10/19,"Gallen, Zac",strikeout,,,,,91.5,4-Seam Fastball
9/10/19,"Gallen, Zac",strikeout,,,,,86.5,Changeup
9/10/19,"Gallen, Zac",strikeout,,,,,93.8,Sinker
9/9/19,"Crichton, Stefan",strikeout,,,,,92.1,Sinker
9/9/19,"Kelly, Merrill",home_run,109.5,24,375,Pull,92.5,Sinker
9/9/19,"Kelly, Merrill",field_out,87.4,-2,29,Opposite,93.8,Sinker
9/9/19,"Kelly, Merrill",home_run,101.2,29,389,Pull,83.3,Curveball
9/8/19,"Neris, Hector",strikeout,,,,,89.2,Split-Finger
9/8/19,"Parker, Blake",field_out,55.1,89,8,Pull,79.6,Split-Finger
9/8/19,"Alvarez, Jose",single,89.1,14,224,Straightaway,85.3,Changeup
9/8/19,"Velasquez, Vince",force_out,79.6,3,64,Pull,93.6,4-Seam Fastball
9/8/19,"Velasquez, Vince",hit_by_pitch,,,,,93.4,4-Seam Fastball
9/8/19,"Velasquez, Vince",strikeout,,,,,81.1,Knuckle Curve
9/7/19,"Smyly, Drew",field_out,97.1,21,359,Straightaway,92,4-Seam Fastball
9/7/19,"Smyly, Drew",field_out,103.2,17,293,Pull,85.8,Cutter
9/7/19,"Smyly, Drew",single,79.5,1,42,Pull,77,Curveball
9/7/19,"Smyly, Drew",double,108.6,21,358,Pull,78.4,Curveball
9/6/19,"Vincent, Nick",walk,,,,,87.7,Cutter
9/6/19,"Neris, Hector",single,89.5,-1,31,Pull,94.7,Sinker
9/6/19,"Hughes, Jared",strikeout,,,,,91,Sinker
