last_name, first_name,player_id,year,b_ab,b_total_pa,b_total_hits,b_k_percent,batting_avg,on_base_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,
Cabrera, Miguel,408234,2022,29,33,8,24.2,.276,.333,.273,.409,.306,.354,.357,.137,93.7,6,13.6,50,
Cruz Jr., Nelson,443558,2022,42,46,8,19.6,.190,.261,.278,.487,.244,.355,.341,.208,87.6,6,9.1,45.5,
Peralta, David,444482,2022,30,34,5,32.4,.167,.265,.172,.269,.273,.234,.270,.097,90.9,23.3,5.3,36.8,
Escobar, Alcides,444876,2022,32,35,5,31.4,.156,.229,.195,.243,.201,.234,.264,.048,77,22.1,0,9.5,
Blackmon, Charlie,453568,2022,31,34,6,29.4,.194,.265,.212,.277,.244,.254,.286,.065,86.1,10.5,0,42.9,
McCutchen, Andrew,457705,2022,39,42,11,11.9,.282,.310,.349,.544,.298,.388,.374,.194,85.2,14.2,5.7,31.4,
Turner, Justin,457759,2022,34,38,8,21.1,.235,.316,.224,.314,.274,.278,.306,.090,87.4,19,0,34.6,
Votto, Joey,458015,2022,34,40,4,37.5,.118,.250,.135,.236,.207,.239,.265,.101,87.3,18.2,5.3,31.6,
Andrus, Elvis,462101,2022,33,38,8,13.2,.242,.342,.239,.362,.355,.313,.339,.123,87.7,7,0,21.4,
Santana, Carlos,467793,2022,26,31,2,9.7,.077,.226,.245,.474,.184,.363,.366,.229,92.3,17.7,13,47.8,
Belt, Brandon,474832,2022,29,34,10,23.5,.345,.441,.278,.647,.488,.428,.384,.369,87.9,20,19,42.9,
Brantley Jr., Michael,488726,2022,33,36,9,16.7,.273,.333,.337,.585,.329,.403,.392,.248,89.1,14,11.1,48.1,
Rojas, Miguel,500743,2022,31,33,6,18.2,.194,.242,.206,.279,.226,.223,.254,.072,84.3,5.8,0,20,
Escobar, Eduardo,500871,2022,31,40,8,17.5,.258,.425,.194,.356,.405,.335,.376,.162,86.4,23.7,4.2,33.3,
Pham, Tommy,502054,2022,26,31,1,19.4,.038,.194,.192,.370,.142,.309,.322,.178,91.7,3,5,45,
Martinez, J.D.,502110,2022,32,38,8,21.1,.250,.342,.205,.457,.356,.349,.319,.252,86.6,11.3,16,20,
Goldschmidt, Paul,502671,2022,29,36,4,16.7,.138,.278,.198,.334,.234,.305,.335,.136,91.2,18,4.3,52.2,
Altuve, Jose,514888,2022,32,36,5,27.8,.156,.250,.220,.335,.237,.289,.309,.115,88.7,13.5,4.5,22.7,
Hernandez, Cesar,514917,2022,48,50,12,20.0,.250,.280,.244,.356,.244,.273,.274,.113,83.7,11.4,2.6,26.3,
