"player_name","batter","events","bb_type","hc_x","hc_y","hit_distance_sc","launch_speed","pitch_name"
"Turner, Trea",607208,"home_run","fly_ball",32.03,62.28,408,102.7,"Slider"
"Alonso, Pete",624413,"field_out","fly_ball",115.26,52.19,363,100.8,"Curveball"
"Soto, Juan",665742,"field_out","line_drive",119.63,58.84,348,93.1,"4-Seam Fastball"
"Swanson, Dansby",621020,"field_out","ground_ball",110.21,157.17,10,89.1,"Slider"
"Harper, Bryce",547180,"double","line_drive",90.14,53.68,282,101.6,"Changeup"
"Ohtani, Shohei",660271,"home_run","line_drive",215.13,54.58,418,112.9,"Cutter"
"Turner, Trea",607208,"double","line_drive",75.31,153.63,170,105.9,"Curveball"
"Swanson, Dansby",621020,"field_out","line_drive",120.41,146.64,137,74.4,"Changeup"
"Turner, Trea",607208,"field_out","fly_ball",95.99,92.8,275,94.3,"Curveball"
"Harper, Bryce",547180,"single","ground_ball",116.26,192.05,15,36.5,"Curveball"
"Ohtani, Shohei",660271,"field_out","fly_ball",128.77,114.41,214,83.9,"Changeup"
"Alonso, Pete",624413,"field_out","fly_ball",112.53,56.34,354,106.1,"Cutter"
"Turner, Trea",607208,"single","ground_ball",164.34,123.5,75,85.7,"Cutter"
"Alonso, Pete",624413,"field_out","fly_ball",165.82,85.27,300,83,"Curveball"
"Soto, Juan",665742,"field_out","ground_ball",118.31,143.6,7,94.2,"4-Seam Fastball"
"Ohtani, Shohei",660271,"field_out","fly_ball",59.82,72.46,352,102.4,"Changeup"
"Alonso, Pete",624413,"double","ground_ball",59.74,135.63,11,103.1,"4-Seam Fastball"
"Turner, Trea",607208,"home_run","line_drive",74.87,44.89,401,106.3,"Changeup"
"Ohtani, Shohei",660271,"field_out","ground_ball",164.66,147.86,96,82.5,"Curveball"
"Alonso, Pete",624413,"field_out","ground_ball",117.96,148.51,12,77.1,"Slider"
"Harper, Bryce",547180,"home_run","fly_ball",33.23,81.34,369,102.9,"4-Seam Fastball"
"Alonso, Pete",624413,"double","line_drive",51.88,83.8,241,100.7,"4-Seam Fastball"
"Turner, Trea",607208,"field_out","fly_ball",162.45,112.26,236,80.5,"Slider"
"Harper, Bryce",547180,"double","line_drive",159.92,42.91,393,107.4,"Changeup"
"Alonso, Pete",624413,"single","ground_ball",112.56,101.82,104,110,"4-Seam Fastball"
"Harper, Bryce",547180,"single","line_drive",93.5,76.75,213,101.7,"Split-Finger"
"Turner, Trea",607208,"home_run","fly_ball",230.88,95.46,348,95.4,"4-Seam Fastball"
"Ohtani, Shohei",660271,"field_out","fly_ball",87.79,60.31,356,101.1,"Cutter"
"Alonso, Pete",624413,"single","line_drive",107.72,67.88,265,110.4,"4-Seam Fastball"
"Harper, Bryce",547180,"field_out","ground_ball",173.9,141.15,101,88.6,"Changeup"
"Swanson, Dansby",621020,"double","fly_ball",173.18,50.5,385,100.9,"Sinker"
"Turner, Trea",607208,"field_out","line_drive",177.41,87.37,306,92.1,"Slider"
"Ohtani, Shohei",660271,"field_out","popup",73.53,156.7,169,84,"Knuckle Curve"
"Harper, Bryce",547180,"field_out","fly_ball",52.4,91.53,321,94.6,"Curveball"
"Alonso, Pete",624413,"field_out","popup",119.56,128.2,181,84.8,"Slider"
"Alonso, Pete",624413,"home_run","line_drive",83.28,50.13,383,97.9,"Changeup"
"Swanson, Dansby",621020,"single","line_drive",65.87,108.04,207,87.5,"Changeup"
"Harper, Bryce",547180,"field_out","ground_ball",157.03,149.49,9,77.6,"Changeup"
"Turner, Trea",607208,"single","fly_ball",138.18,108.87,241,71.8,"Slider"
"Ohtani, Shohei",660271,"double","ground_ball",78.55,137.13,5,68.4,"Slider"
"Ohtani, Shohei",660271,"triple","line_drive",220.35,99.56,147,106.7,"Changeup"
"Harper, Bryce",547180,"field_out","ground_ball",147.88,147.52,8,88.8,"Slider"
"Turner, Trea",607208,"field_out","popup",142.34,137.84,163,81.5,"4-Seam Fastball"
"Ohtani, Shohei",660271,"field_out","fly_ball",37.57,78.6,367,104,"Curveball"
"Alonso, Pete",624413,"home_run","line_drive",53.27,48.97,411,105.7,"Fastball"
"Alonso, Pete",624413,"field_out","fly_ball",118.28,31.71,412,104.7,"Slider"
"Turner, Trea",607208,"single","ground_ball",114,133.52,5,86,"Slider"
"Swanson, Dansby",621020,"field_out","fly_ball",204.45,84.98,341,96.8,"Cutter"
"Ohtani, Shohei",660271,"single","ground_ball",169.06,150.79,100,101.8,"4-Seam Fastball"
"Swanson, Dansby",621020,"single","line_drive",64.25,107.28,191,85.6,"Knuckle Curve"
"Ohtani, Shohei",660271,"field_out","ground_ball",150.66,151.67,111,90,"4-Seam Fastball"
"Soto, Juan",665742,"field_out","ground_ball",157.19,169.53,2,82.8,"Curveball"
"Alonso, Pete",624413,"field_out","ground_ball",111.13,170.65,87,111.3,"Changeup"
"Turner, Trea",607208,"field_out","fly_ball",128.19,67.62,327,89.6,"Slider"
"Swanson, Dansby",621020,"double","fly_ball",171.45,66.51,379,102,"4-Seam Fastball"
"Harper, Bryce",547180,"field_out","popup",136.87,145.83,140,85.5,"4-Seam Fastball"
"Soto, Juan",665742,"field_out","ground_ball",118.17,155.77,4,85.5,"Changeup"
"Ohtani, Shohei",660271,"single","ground_ball",179.14,115.31,114,109,"4-Seam Fastball"
"Turner, Trea",607208,"single","ground_ball",85.56,137.55,70,111,"Sinker"
"Turner, Trea",607208,"field_out","ground_ball",125.24,167.76,5,84.9,"Slider"
"Soto, Juan",665742,"single","ground_ball",144.02,166.57,NA,NA,"Changeup"
"Alonso, Pete",624413,"field_out","fly_ball",153.82,67.11,334,89.2,"Slider"
"Alonso, Pete",624413,"single","ground_ball",111.58,188.82,49,106.9,"Changeup"
"Ohtani, Shohei",660271,"field_out","ground_ball",145.86,159.07,4,60.6,"Sinker"
"Swanson, Dansby",621020,"single","ground_ball",112.84,120.67,112,68.7,"Sinker"
"Ohtani, Shohei",660271,"field_out","line_drive",140.99,133.44,173,88,"4-Seam Fastball"
"Turner, Trea",607208,"single","ground_ball",96.04,142.91,33,104.7,"Split-Finger"
"Soto, Juan",665742,"field_out","popup",94.92,181.81,92,85.4,"4-Seam Fastball"
"Turner, Trea",607208,"single","ground_ball",120.54,96.96,6,96.9,"Slider"
"Swanson, Dansby",621020,"single","line_drive",144.48,100.02,197,79.4,"Slider"
"Alonso, Pete",624413,"field_out","ground_ball",89.29,162.43,56,106.7,"Changeup"
"Alonso, Pete",624413,"field_out","popup",110.14,208.11,39,80.1,"Cutter"
"Alonso, Pete",624413,"single","ground_ball",171.36,117.51,108,58.4,"4-Seam Fastball"
"Turner, Trea",607208,"double","line_drive",92.22,48.74,322,108.2,"Slider"
"Turner, Trea",607208,"field_out","ground_ball",91.26,161.98,21,98.7,"Cutter"
"Soto, Juan",665742,"field_out","ground_ball",153.98,163.73,22,80,"Sinker"
"Alonso, Pete",624413,"field_out","popup",66.14,158.88,178,98.1,"Slider"
"Alonso, Pete",624413,"single","ground_ball",86.56,120.53,61,98.2,"Sinker"
"Alonso, Pete",624413,"field_out","ground_ball",126,204.5,31,76.6,"Slider"
"Ohtani, Shohei",660271,"field_out","line_drive",161.93,136.95,182,98.6,"4-Seam Fastball"
"Soto, Juan",665742,"field_out","fly_ball",68.28,139.86,207,87.9,"Changeup"
"Soto, Juan",665742,"single","line_drive",128.66,70.88,196,103.6,"Sinker"
"Ohtani, Shohei",660271,"single","ground_ball",112.21,86.71,136,99.6,"Cutter"
